SYMBOL,COMPANY_NAME,ISIN,SECTOR,INDICES,IS_FNO
360ONE,360 ONE WAM Ltd.,INE466L01038,Financial Services,"NIFTY MIDCAP 100, NIFTY 500",1
3MINDIA,3M India Ltd.,INE470A01017,Diversified,NIFTY 500,0
ABB,ABB India Ltd.,INE117A01022,Capital Goods,"NIFTY NEXT 50, NIFTY ENERGY, NIFTY 500",1
ACC,ACC Ltd.,INE012A01025,Construction Materials,NIFTY 500,0
ACMESOLAR,ACME Solar Holdings Ltd.,INE622W01025,Power,NIFTY 500,0
AIAENG,AIA Engineering Ltd.,INE212H01026,Capital Goods,NIFTY 500,0
APLAPOLLO,APL Apollo Tubes Ltd.,INE702C01027,Capital Goods,"NIFTY MIDCAP 100, NIFTY METAL, NIFTY 500",1
AUBANK,AU Small Finance Bank Ltd.,INE949L01017,Financial Services,"NIFTY BANK, NIFTY MIDCAP 100, NIFTY 500",1
AWL,AWL Agri Business Ltd.,INE699H01024,Fast Moving Consumer Goods,NIFTY 500,0
AADHARHFC,Aadhar Housing Finance Ltd.,INE883F01010,Financial Services,NIFTY 500,0
AARTIIND,Aarti Industries Ltd.,INE769A01020,Chemicals,"NIFTY SMALLCAP 100, NIFTY 500",0
AAVAS,Aavas Financiers Ltd.,INE216P01012,Financial Services,NIFTY 500,0
ABBOTINDIA,Abbott India Ltd.,INE358A01014,Healthcare,"NIFTY PHARMA, NIFTY 500",0
ACE,Action Construction Equipment Ltd.,INE731H01025,Capital Goods,NIFTY 500,0
ACUTAAS,Acutaas Chemicals Ltd.,INE00FF01025,Healthcare,NIFTY 500,0
ADANIENSOL,Adani Energy Solutions Ltd.,INE931S01010,Power,"NIFTY NEXT 50, NIFTY ENERGY, NIFTY 500",1
ADANIENT,Adani Enterprises Ltd.,INE423A01024,Metals & Mining,"NIFTY 50, NIFTY METAL, NIFTY 500",1
ADANIGREEN,Adani Green Energy Ltd.,INE364U01010,Power,"NIFTY NEXT 50, NIFTY ENERGY, NIFTY 500",1
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,INE742F01042,Services,"NIFTY 50, NIFTY 500",1
ADANIPOWER,Adani Power Ltd.,INE814H01029,Power,"NIFTY NEXT 50, NIFTY ENERGY, NIFTY 500",1
ATGL,Adani Total Gas Ltd.,INE399L01023,Oil Gas & Consumable Fuels,"NIFTY MIDCAP 100, NIFTY ENERGY, NIFTY 500",0
ABCAPITAL,Aditya Birla Capital Ltd.,INE674K01013,Financial Services,"NIFTY MIDCAP 100, NIFTY 500",1
ABFRL,Aditya Birla Fashion and Retail Ltd.,INE647O01011,Consumer Services,NIFTY 500,0
ABLBL,Aditya Birla Lifestyle Brands Ltd.,INE14LE01019,Consumer Services,NIFTY 500,0
ABREL,Aditya Birla Real Estate Ltd.,INE055A01016,Realty,"NIFTY SMALLCAP 100, NIFTY REALTY, NIFTY 500",0
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,INE404A01024,Financial Services,NIFTY 500,0
CPPLUS,Aditya Infotech Ltd.,INE819V01029,Capital Goods,NIFTY 500,0
AEGISLOG,Aegis Logistics Ltd.,INE208C01025,Oil Gas & Consumable Fuels,"NIFTY SMALLCAP 100, NIFTY ENERGY, NIFTY 500",0
AEGISVOPAK,Aegis Vopak Terminals Ltd.,INE0INX01018,Oil Gas & Consumable Fuels,NIFTY 500,0
AFCONS,Afcons Infrastructure Ltd.,INE101I01011,Construction,"NIFTY SMALLCAP 100, NIFTY 500",0
AFFLE,Affle 3i Ltd.,INE00WC01027,Information Technology,"NIFTY SMALLCAP 100, NIFTY 500",0
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,INE031B01049,Healthcare,"NIFTY PHARMA, NIFTY 500",0
ALKEM,Alkem Laboratories Ltd.,INE540L01014,Healthcare,"NIFTY MIDCAP 100, NIFTY PHARMA, NIFTY 500",1
ABDL,Allied Blenders and Distillers Ltd.,INE552Z01027,Fast Moving Consumer Goods,NIFTY 500,0
ARE&M,Amara Raja Energy & Mobility Ltd.,INE885A01032,Automobile and Auto Components,"NIFTY SMALLCAP 100, NIFTY 500",0
AMBER,Amber Enterprises India Ltd.,INE371P01015,Consumer Durables,"NIFTY SMALLCAP 100, NIFTY 500",1
AMBUJACEM,Ambuja Cements Ltd.,INE079A01024,Construction Materials,"NIFTY NEXT 50, NIFTY 500",1
ANANDRATHI,Anand Rathi Wealth Ltd.,INE463V01026,Financial Services,"NIFTY SMALLCAP 100, NIFTY 500",0
ANANTRAJ,Anant Raj Ltd.,INE242C01024,Realty,"NIFTY SMALLCAP 100, NIFTY REALTY, NIFTY 500",0
ANGELONE,Angel One Ltd.,INE732I01021,Financial Services,"NIFTY SMALLCAP 100, NIFTY 500",1
ANTHEM,Anthem Biosciences Ltd.,INE0CZ201020,Healthcare,NIFTY 500,0
ANURAS,Anupam Rasayan India Ltd.,INE930P01018,Chemicals,NIFTY 500,0
APARINDS,Apar Industries Ltd.,INE372A01015,Capital Goods,NIFTY 500,0
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,INE437A01024,Healthcare,"NIFTY 50, NIFTY 500",1
APOLLOTYRE,Apollo Tyres Ltd.,INE438A01022,Automobile and Auto Components,NIFTY 500,0
APTUS,Aptus Value Housing Finance India Ltd.,INE852O01025,Financial Services,"NIFTY SMALLCAP 100, NIFTY 500",0
ASAHIINDIA,Asahi India Glass Ltd.,INE439A01020,Automobile and Auto Components,NIFTY 500,0
ASHOKLEY,Ashok Leyland Ltd.,INE208A01029,Capital Goods,"NIFTY MIDCAP 100, NIFTY AUTO, NIFTY 500",1
ASIANPAINT,Asian Paints Ltd.,INE021A01026,Consumer Durables,"NIFTY 50, NIFTY 500",1
ASTERDM,Aster DM Quality Care Ltd.,INE914M01019,Healthcare,"NIFTY SMALLCAP 100, NIFTY 500",0
ASTRAL,Astral Ltd.,INE006I01046,Capital Goods,"NIFTY MIDCAP 100, NIFTY 500",1
ATHERENERG,Ather Energy Ltd.,INE0LEZ01016,Automobile and Auto Components,"NIFTY SMALLCAP 100, NIFTY 500",0
ATUL,Atul Ltd.,INE100A01010,Chemicals,NIFTY 500,0
AUROPHARMA,Aurobindo Pharma Ltd.,INE406A01037,Healthcare,"NIFTY MIDCAP 100, NIFTY PHARMA, NIFTY 500",1
AIIL,Authum Investment & Infrastructure Ltd.,INE206F01022,Financial Services,NIFTY 500,0
DMART,Avenue Supermarts Ltd.,INE192R01011,Consumer Services,"NIFTY NEXT 50, NIFTY 500",1
AXISBANK,Axis Bank Ltd.,INE238A01034,Financial Services,"NIFTY 50, NIFTY BANK, NIFTY 500",1
BEML,BEML Ltd.,INE258A01024,Capital Goods,"NIFTY SMALLCAP 100, NIFTY 500",0
BLS,BLS International Services Ltd.,INE153T01027,Consumer Services,"NIFTY SMALLCAP 100, NIFTY 500",0
BSE,BSE Ltd.,INE118H01025,Financial Services,"NIFTY MIDCAP 100, NIFTY 500",1
BAJAJ-AUTO,Bajaj Auto Ltd.,INE917I01010,Automobile and Auto Components,"NIFTY 50, NIFTY AUTO, NIFTY 500",0
BAJFINANCE,Bajaj Finance Ltd.,INE296A01032,Financial Services,"NIFTY 50, NIFTY 500",1
BAJAJFINSV,Bajaj Finserv Ltd.,INE918I01026,Financial Services,"NIFTY 50, NIFTY 500",1
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,INE118A01012,Financial Services,"NIFTY NEXT 50, NIFTY 500",1
BAJAJHFL,Bajaj Housing Finance Ltd.,INE377Y01014,Financial Services,NIFTY 500,0
BALKRISIND,Balkrishna Industries Ltd.,INE787D01026,Automobile and Auto Components,NIFTY 500,0
BALRAMCHIN,Balrampur Chini Mills Ltd.,INE119A01028,Fast Moving Consumer Goods,NIFTY 500,0
BANDHANBNK,Bandhan Bank Ltd.,INE545U01014,Financial Services,"NIFTY SMALLCAP 100, NIFTY 500",1
BANKBARODA,Bank of Baroda,INE028A01039,Financial Services,"NIFTY BANK, NIFTY NEXT 50, NIFTY 500",1
BANKINDIA,Bank of India,INE084A01016,Financial Services,"NIFTY MIDCAP 100, NIFTY 500",1
MAHABANK,Bank of Maharashtra,INE457A01014,Financial Services,NIFTY 500,0
BATAINDIA,Bata India Ltd.,INE176A01028,Consumer Durables,NIFTY 500,0
BAYERCROP,Bayer Cropscience Ltd.,INE462A01022,Chemicals,NIFTY 500,0
BELRISE,Belrise Industries Ltd.,INE894V01022,Automobile and Auto Components,NIFTY 500,0
BERGEPAINT,Berger Paints India Ltd.,INE463A01038,Consumer Durables,NIFTY 500,0
BDL,Bharat Dynamics Ltd.,INE171Z01026,Capital Goods,"NIFTY MIDCAP 100, NIFTY 500",1
BEL,Bharat Electronics Ltd.,INE263A01024,Capital Goods,"NIFTY 50, NIFTY 500",1
BHARATFORG,Bharat Forge Ltd.,INE465A01025,Automobile and Auto Components,"NIFTY MIDCAP 100, NIFTY AUTO, NIFTY 500",1
BHEL,Bharat Heavy Electricals Ltd.,INE257A01026,Capital Goods,"NIFTY MIDCAP 100, NIFTY ENERGY, NIFTY 500",1
BPCL,Bharat Petroleum Corporation Ltd.,INE029A01011,Oil Gas & Consumable Fuels,"NIFTY NEXT 50, NIFTY ENERGY, NIFTY 500",1
BHARTIARTL,Bharti Airtel Ltd.,INE397D01024,Telecommunication,"NIFTY 50, NIFTY 500",1
BHARTIHEXA,Bharti Hexacom Ltd.,INE343G01021,Telecommunication,NIFTY 500,0
BIKAJI,Bikaji Foods International Ltd.,INE00E101023,Fast Moving Consumer Goods,NIFTY 500,0
GROWW,Billionbrains Garage Ventures Ltd.,INE0HOQ01053,Financial Services,"NIFTY MIDCAP 100, NIFTY 500",0
BIOCON,Biocon Ltd.,INE376G01013,Healthcare,"NIFTY MIDCAP 100, NIFTY PHARMA, NIFTY 500",1
BSOFT,Birlasoft Ltd.,INE836A01035,Information Technology,NIFTY 500,0
BLUEDART,Blue Dart Express Ltd.,INE233B01017,Services,NIFTY 500,0
BLUEJET,Blue Jet Healthcare Ltd.,INE0KBH01020,Healthcare,NIFTY 500,0
BLUESTARCO,Blue Star Ltd.,INE472A01039,Consumer Durables,"NIFTY MIDCAP 100, NIFTY 500",1
BBTC,Bombay Burmah Trading Corporation Ltd.,INE050A01025,Fast Moving Consumer Goods,NIFTY 500,0
BOSCHLTD,Bosch Ltd.,INE323A01026,Automobile and Auto Components,"NIFTY NEXT 50, NIFTY AUTO, NIFTY 500",1
FIRSTCRY,Brainbees Solutions Ltd.,INE02RE01045,Consumer Services,"NIFTY SMALLCAP 100, NIFTY 500",0
BRIGADE,Brigade Enterprises Ltd.,INE791I01019,Realty,"NIFTY SMALLCAP 100, NIFTY REALTY, NIFTY 500",0
BRITANNIA,Britannia Industries Ltd.,INE216A01030,Fast Moving Consumer Goods,"NIFTY NEXT 50, NIFTY FMCG, NIFTY 500",1
MAPMYINDIA,C.E. Info Systems Ltd.,INE0BV301023,Information Technology,NIFTY 500,0
CCL,CCL Products (I) Ltd.,INE421D01022,Fast Moving Consumer Goods,NIFTY 500,0
CESC,CESC Ltd.,INE486A01021,Power,"NIFTY SMALLCAP 100, NIFTY ENERGY, NIFTY 500",0
CGPOWER,CG Power and Industrial Solutions Ltd.,INE067A01029,Capital Goods,"NIFTY NEXT 50, NIFTY ENERGY, NIFTY 500",1
CIEINDIA,CIE Automotive India Ltd.,INE536H01010,Automobile and Auto Components,NIFTY 500,0
CRISIL,CRISIL Ltd.,INE007A01025,Financial Services,NIFTY 500,0
CANFINHOME,Can Fin Homes Ltd.,INE477A01020,Financial Services,NIFTY 500,0
CANBK,Canara Bank,INE476A01022,Financial Services,"NIFTY BANK, NIFTY NEXT 50, NIFTY 500",1
CANHLIFE,Canara HSBC Life Insurance Company Ltd.,INE01TY01017,Financial Services,NIFTY 500,0
CAPLIPOINT,Caplin Point Laboratories Ltd.,INE475E01026,Healthcare,NIFTY 500,0
CGCL,Capri Global Capital Ltd.,INE180C01042,Financial Services,"NIFTY SMALLCAP 100, NIFTY 500",0
CARBORUNIV,Carborundum Universal Ltd.,INE120A01034,Capital Goods,NIFTY 500,0
CARTRADE,Cartrade Tech Ltd.,INE290S01011,Consumer Services,NIFTY 500,0
CASTROLIND,Castrol India Ltd.,INE172A01027,Oil Gas & Consumable Fuels,"NIFTY SMALLCAP 100, NIFTY ENERGY, NIFTY 500",0
CEATLTD,Ceat Ltd.,INE482A01020,Automobile and Auto Components,NIFTY 500,0
CEMPRO,Cemindia Projects Ltd.,INE686A01026,Construction,NIFTY 500,0
CENTRALBK,Central Bank of India,INE483A01010,Financial Services,NIFTY 500,0
CDSL,Central Depository Services (India) Ltd.,INE736A01011,Financial Services,"NIFTY SMALLCAP 100, NIFTY 500",1
CHALET,Chalet Hotels Ltd.,INE427F01016,Consumer Services,NIFTY 500,0
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,INE085A01013,Chemicals,"NIFTY SMALLCAP 100, NIFTY 500",0
CHENNPETRO,Chennai Petroleum Corporation Ltd.,INE178A01016,Oil Gas & Consumable Fuels,NIFTY 500,0
CHOICEIN,Choice International Ltd.,INE102B01014,Financial Services,NIFTY 500,0
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,INE149A01033,Financial Services,"NIFTY SMALLCAP 100, NIFTY 500",0
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,INE121A01024,Financial Services,"NIFTY NEXT 50, NIFTY 500",1
CIPLA,Cipla Ltd.,INE059A01026,Healthcare,"NIFTY 50, NIFTY PHARMA, NIFTY 500",1
CUB,City Union Bank Ltd.,INE491A01021,Financial Services,"NIFTY SMALLCAP 100, NIFTY 500",0
CLEAN,Clean Science and Technology Ltd.,INE227W01023,Chemicals,NIFTY 500,0
COALINDIA,Coal India Ltd.,INE522F01014,Oil Gas & Consumable Fuels,"NIFTY 50, NIFTY ENERGY, NIFTY 500",1
COCHINSHIP,Cochin Shipyard Ltd.,INE704P01025,Capital Goods,"NIFTY MIDCAP 100, NIFTY 500",1
COFORGE,Coforge Ltd.,INE591G01025,Information Technology,"NIFTY MIDCAP 100, NIFTY IT, NIFTY 500",1
COHANCE,Cohance Lifesciences Ltd.,INE03QK01018,Healthcare,"NIFTY SMALLCAP 100, NIFTY 500",0
COLPAL,Colgate Palmolive (India) Ltd.,INE259A01022,Fast Moving Consumer Goods,"NIFTY MIDCAP 100, NIFTY FMCG, NIFTY 500",1
CAMS,Computer Age Management Services Ltd.,INE596I01020,Financial Services,"NIFTY SMALLCAP 100, NIFTY 500",1
CONCORDBIO,Concord Biotech Ltd.,INE338H01029,Healthcare,NIFTY 500,0
CONCOR,Container Corporation of India Ltd.,INE111A01025,Services,"NIFTY MIDCAP 100, NIFTY 500",1
COROMANDEL,Coromandel International Ltd.,INE169A01031,Chemicals,"NIFTY MIDCAP 100, NIFTY 500",0
CRAFTSMAN,Craftsman Automation Ltd.,INE00LO01017,Automobile and Auto Components,NIFTY 500,0
CREDITACC,CreditAccess Grameen Ltd.,INE741K01010,Financial Services,"NIFTY SMALLCAP 100, NIFTY 500",0
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,INE299U01018,Consumer Durables,"NIFTY SMALLCAP 100, NIFTY 500",1
CUMMINSIND,Cummins India Ltd.,INE298A01020,Capital Goods,"NIFTY NEXT 50, NIFTY 500",1
CYIENT,Cyient Ltd.,INE136B01020,Information Technology,NIFTY 500,0
DCMSHRIRAM,DCM Shriram Ltd.,INE499A01024,Diversified,NIFTY 500,0
DLF,DLF Ltd.,INE271C01023,Realty,"NIFTY NEXT 50, NIFTY REALTY, NIFTY 500",1
DOMS,DOMS Industries Ltd.,INE321T01012,Fast Moving Consumer Goods,NIFTY 500,0
DABUR,Dabur India Ltd.,INE016A01026,Fast Moving Consumer Goods,"NIFTY MIDCAP 100, NIFTY FMCG, NIFTY 500",1
DALBHARAT,Dalmia Bharat Ltd.,INE00R701025,Construction Materials,NIFTY 500,1
DATAPATTNS,Data Patterns (India) Ltd.,INE0IX101010,Capital Goods,"NIFTY SMALLCAP 100, NIFTY 500",0
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,INE501A01019,Chemicals,"NIFTY SMALLCAP 100, NIFTY 500",0
DEEPAKNTR,Deepak Nitrite Ltd.,INE288B01029,Chemicals,NIFTY 500,0
DELHIVERY,Delhivery Ltd.,INE148O01028,Services,"NIFTY SMALLCAP 100, NIFTY 500",1
DEVYANI,Devyani International Ltd.,INE872J01023,Consumer Services,"NIFTY SMALLCAP 100, NIFTY 500",0
DIVISLAB,Divi's Laboratories Ltd.,INE361B01024,Healthcare,"NIFTY NEXT 50, NIFTY PHARMA, NIFTY 500",1
DIXON,Dixon Technologies (India) Ltd.,INE935N01020,Consumer Durables,"NIFTY MIDCAP 100, NIFTY 500",1
LALPATHLAB,Dr. Lal Path Labs Ltd.,INE600L01024,Healthcare,"NIFTY SMALLCAP 100, NIFTY 500",0
DRREDDY,Dr. Reddy's Laboratories Ltd.,INE089A01031,Healthcare,"NIFTY 50, NIFTY PHARMA, NIFTY 500",1
EIDPARRY,E.I.D. Parry (India) Ltd.,INE126A01031,Fast Moving Consumer Goods,NIFTY 500,0
EIHOTEL,EIH Ltd.,INE230A01023,Consumer Services,NIFTY 500,0
EICHERMOT,Eicher Motors Ltd.,INE066A01021,Automobile and Auto Components,"NIFTY 50, NIFTY AUTO, NIFTY 500",1
ELECON,Elecon Engineering Co. Ltd.,INE205B01031,Capital Goods,NIFTY 500,0
ELGIEQUIP,Elgi Equipments Ltd.,INE285A01027,Capital Goods,NIFTY 500,0
EMAMILTD,Emami Ltd.,INE548C01032,Fast Moving Consumer Goods,"NIFTY FMCG, NIFTY 500",0
EMCURE,Emcure Pharmaceuticals Ltd.,INE168P01015,Healthcare,NIFTY 500,0
EMMVEE,Emmvee Photovoltaic Power Ltd.,INE1C6T01020,Capital Goods,NIFTY 500,0
ENDURANCE,Endurance Technologies Ltd.,INE913H01037,Automobile and Auto Components,NIFTY 500,0
ENGINERSIN,Engineers India Ltd.,INE510A01028,Construction,NIFTY 500,0
ERIS,Eris Lifesciences Ltd.,INE406M01024,Healthcare,NIFTY 500,0
ESCORTS,Escorts Kubota Ltd.,INE042A01014,Capital Goods,NIFTY 500,0
ETERNAL,Eternal Ltd.,INE758T01015,Consumer Services,"NIFTY 50, NIFTY 500",1
EXIDEIND,Exide Industries Ltd.,INE302A01020,Automobile and Auto Components,"NIFTY MIDCAP 100, NIFTY AUTO, NIFTY 500",0
NYKAA,FSN E-Commerce Ventures Ltd.,INE388Y01029,Consumer Services,"NIFTY MIDCAP 100, NIFTY 500",1
FEDERALBNK,Federal Bank Ltd.,INE171A01029,Financial Services,"NIFTY BANK, NIFTY MIDCAP 100, NIFTY 500",1
FACT,Fertilisers and Chemicals Travancore Ltd.,INE188A01015,Chemicals,NIFTY 500,0
FINCABLES,Finolex Cables Ltd.,INE235A01022,Capital Goods,NIFTY 500,0
FSL,Firstsource Solutions Ltd.,INE684F01012,Services,"NIFTY SMALLCAP 100, NIFTY 500",0
FIVESTAR,Five-Star Business Finance Ltd.,INE128S01021,Financial Services,"NIFTY SMALLCAP 100, NIFTY 500",0
FORCEMOT,Force Motors Ltd.,INE451A01017,Automobile and Auto Components,"NIFTY SMALLCAP 100, NIFTY 500",1
FORTIS,Fortis Healthcare Ltd.,INE061F01013,Healthcare,"NIFTY MIDCAP 100, NIFTY 500",1
GAIL,GAIL (India) Ltd.,INE129A01019,Oil Gas & Consumable Fuels,"NIFTY NEXT 50, NIFTY ENERGY, NIFTY 500",1
GVT&D,GE Vernova T&D India Ltd.,INE200A01026,Capital Goods,"NIFTY MIDCAP 100, NIFTY ENERGY, NIFTY 500",0
GMRAIRPORT,GMR Airports Ltd.,INE776C01039,Services,"NIFTY MIDCAP 100, NIFTY 500",1
GABRIEL,Gabriel India Ltd.,INE524A01029,Automobile and Auto Components,NIFTY 500,0
GALLANTT,Gallantt Ispat Ltd.,INE297H01019,Capital Goods,NIFTY 500,0
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,INE382Z01011,Capital Goods,"NIFTY SMALLCAP 100, NIFTY 500",0
GICRE,General Insurance Corporation of India,INE481Y01014,Financial Services,NIFTY 500,0
GILLETTE,Gillette India Ltd.,INE322A01010,Fast Moving Consumer Goods,NIFTY 500,0
GLAND,Gland Pharma Ltd.,INE068V01023,Healthcare,"NIFTY SMALLCAP 100, NIFTY PHARMA, NIFTY 500",0
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,INE159A01016,Healthcare,NIFTY 500,0
GLENMARK,Glenmark Pharmaceuticals Ltd.,INE935A01035,Healthcare,"NIFTY MIDCAP 100, NIFTY PHARMA, NIFTY 500",1
MEDANTA,Global Health Ltd.,INE474Q01031,Healthcare,NIFTY 500,0
GODIGIT,Go Digit General Insurance Ltd.,INE03JT01014,Financial Services,NIFTY 500,0
GPIL,Godawari Power & Ispat Ltd.,INE177H01039,Capital Goods,"NIFTY SMALLCAP 100, NIFTY 500",0
GODFRYPHLP,Godfrey Phillips India Ltd.,INE260B01028,Fast Moving Consumer Goods,"NIFTY MIDCAP 100, NIFTY 500",1
GODREJCP,Godrej Consumer Products Ltd.,INE102D01028,Fast Moving Consumer Goods,"NIFTY NEXT 50, NIFTY FMCG, NIFTY 500",1
GODREJIND,Godrej Industries Ltd.,INE233A01035,Diversified,NIFTY 500,0
GODREJPROP,Godrej Properties Ltd.,INE484J01027,Realty,"NIFTY MIDCAP 100, NIFTY REALTY, NIFTY 500",1
GRANULES,Granules India Ltd.,INE101D01020,Healthcare,NIFTY 500,0
GRAPHITE,Graphite India Ltd.,INE371A01025,Capital Goods,NIFTY 500,0
GRASIM,Grasim Industries Ltd.,INE047A01021,Construction Materials,"NIFTY 50, NIFTY 500",1
GRAVITA,Gravita India Ltd.,INE024L01027,Metals & Mining,NIFTY 500,0
GESHIP,Great Eastern Shipping Co. Ltd.,INE017A01032,Services,"NIFTY SMALLCAP 100, NIFTY 500",0
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,INE09N301011,Chemicals,NIFTY 500,0
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,INE131A01031,Metals & Mining,"NIFTY SMALLCAP 100, NIFTY 500",0
HEG,H.E.G. Ltd.,INE545A01024,Capital Goods,NIFTY 500,0
HBLENGINE,HBL Engineering Ltd.,INE292B01021,Capital Goods,"NIFTY SMALLCAP 100, NIFTY 500",0
HCLTECH,HCL Technologies Ltd.,INE860A01027,Information Technology,"NIFTY 50, NIFTY IT, NIFTY 500",1
HDBFS,HDB Financial Services Ltd.,INE756I01012,Financial Services,NIFTY 500,0
HDFCAMC,HDFC Asset Management Company Ltd.,INE127D01025,Financial Services,"NIFTY NEXT 50, NIFTY 500",1
HDFCBANK,HDFC Bank Ltd.,INE040A01034,Financial Services,"NIFTY 50, NIFTY BANK, NIFTY 500",1
HDFCLIFE,HDFC Life Insurance Company Ltd.,INE795G01014,Financial Services,"NIFTY 50, NIFTY 500",1
HFCL,HFCL Ltd.,INE548A01028,Telecommunication,NIFTY 500,0
HAVELLS,Havells India Ltd.,INE176B01034,Consumer Durables,"NIFTY MIDCAP 100, NIFTY 500",1
