SYMBOL,COMPANY_NAME,SECTOR,INDICES,IS_FNO,CLOSE,PCT_CHANGE,DELIV_QTY,DELIV_AVG_2D,DELIV_AVG_5D,DELIV_AVG_7D,DELIV_AVG_10D,BREAKOUT_SIGNAL,TOP_5_STATUS
TITAN,Titan Company Ltd.,Consumer Durables,"NIFTY 50, NIFTY CONSUMER DURABLES, NIFTY 500",1,3269.35,-2.0,2001382,860874.0,921605.0,1079524.142857143,1220863.6,"2D, 5D",NO
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,"NIFTY CONSUMER DURABLES, NIFTY 500",1,409.7,0.27,3302341,962387.5,2697967.0,2920246.0,3017083.2,2D,NO
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,"NIFTY CONSUMER DURABLES, NIFTY 500",1,495.3,0.97,3717652,951540.0,3352693.4,3574248.714285714,4495155.2,2D,NO
NBCC,NBCC (India) Ltd.,Construction,NIFTY 500,1,188.61,1.03,78246785,100068553.0,50218723.4,41014134.14285714,37528382.0,10D,NO
CAMS,Computer Age Management Services Ltd.,Financial Services,NIFTY 500,1,3765.3,1.08,397525,151234.0,209108.6,190736.7142857143,260548.1,"2D, 7D",NO
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,"NIFTY 50, NIFTY FMCG, NIFTY 500",1,2574.15,1.14,791513,314816.0,663455.8,666135.1428571428,697142.1,2D,NO
INOXWIND,Inox Wind Ltd.,Capital Goods,"NIFTY ENERGY, NIFTY 500",1,158.8,1.14,24887232,44162575.5,20460330.2,16036586.57142857,12395817.7,10D,NO
MARICO,Marico Ltd.,Fast Moving Consumer Goods,"NIFTY FMCG, NIFTY 500",1,615.35,1.2,6070845,1746545.0,2037489.6,2225106.285714286,2043140.1,"2D, 5D, 7D, 10D",NO
ASTRAL,Astral Ltd.,Capital Goods,NIFTY 500,1,2406.25,1.55,722122,316426.5,380206.2,480261.4285714286,720088.9,2D,NO
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,"NIFTY NEXT 50, NIFTY PHARMA, NIFTY HEALTHCARE, NIFTY 500",1,4629.7,1.88,1285879,408196.0,394736.4,386987.5714285714,383405.6,"2D, 5D, 7D, 10D",NO
CONCOR,Container Corporation of India Ltd.,Services,NIFTY 500,1,1057.9,2.46,3546969,2379542.0,1827781.2,1701657.142857143,2040854.9,7D,NO
SUZLON,Suzlon Energy Ltd.,Capital Goods,"NIFTY ENERGY, NIFTY 500",1,55.49,2.7,96909661,46553548.0,36355663.0,40959895.14285714,64354077.6,"2D, 5D, 7D",NO
BDL,Bharat Dynamics Ltd.,Capital Goods,NIFTY 500,1,1731.85,2.85,9629462,8285978.5,4840555.6,4880278.571428572,3933723.9,10D,NO
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,"NIFTY PHARMA, NIFTY HEALTHCARE, NIFTY 500",1,1338.15,3.29,1454791,1057829.0,764825.4,693364.7142857143,638971.3,"7D, 10D",NO
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,"NIFTY PHARMA, NIFTY HEALTHCARE, NIFTY 500",1,1303.55,3.9,2708670,1040406.0,1052388.4,1733622.0,1495988.5,"2D, 5D",NO
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,"NIFTY 50, NIFTY ENERGY, NIFTY OIL & GAS, NIFTY 500",1,288.2,4.02,39781962,11285034.5,15664894.2,15972330.142857144,15092050.8,"2D, 5D, 7D, 10D",NO
LAURUSLABS,Laurus Labs Ltd.,Healthcare,"NIFTY PHARMA, NIFTY HEALTHCARE, NIFTY 500",1,477.15,5.0,11785336,4246998.0,2632956.4,2177043.5714285714,1754646.1,"2D, 5D, 7D, 10D",NO
KAYNES,Kaynes Technology India Ltd.,Capital Goods,NIFTY 500,1,4238.8,5.76,902780,165403.0,140452.8,147842.42857142858,167204.6,"2D, 5D, 7D, 10D",NO
PAYTM,One 97 Communications Ltd.,Financial Services,NIFTY 500,1,436.55,5.84,6630370,4651965.5,3923066.8,3311526.0,3122816.4,"7D, 10D",NO
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods,NIFTY 500,1,2837.6,5.88,12633513,11800672.5,6704912.6,6267628.285714285,5483816.4,"7D, 10D",NO
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services,"NIFTY NEXT 50, NIFTY 500",1,188.23,5.91,224563674,35066791.5,27889469.2,27096371.285714287,36034245.4,"2D, 5D, 7D, 10D",Top 5 Gainer (Rank #5)
BLUESTARCO,Blue Star Ltd.,Consumer Durables,"NIFTY CONSUMER DURABLES, NIFTY 500",1,1705.25,6.2,3452736,238714.0,237476.0,227233.14285714287,207741.4,"2D, 5D, 7D, 10D",Top 5 Gainer (Rank #4)
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,"NIFTY NEXT 50, NIFTY ENERGY, NIFTY 500",1,772.2,6.87,8003162,1271440.0,1663106.8,1910028.2857142857,2861826.8,"2D, 5D, 7D, 10D",Top 5 Gainer (Rank #3)
YESBANK,Yes Bank Ltd.,Financial Services,"NIFTY BANK, NIFTY 500",1,26.64,11.23,985310768,123491919.5,130913219.2,126686693.85714285,124671916.1,"2D, 5D, 7D, 10D",Top 5 Gainer (Rank #2)
RVNL,Rail Vikas Nigam Ltd.,Construction,NIFTY 500,1,491.05,17.27,152345942,16766868.0,15644869.0,16064195.285714285,25016808.9,"2D, 5D, 7D, 10D",Top 5 Gainer (Rank #1)
