SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,UNNAMED: 11
ABB,EQ,1890.0,1930.0,1825.0,1840.1,1828.0,1870.1,43889,81635680.65,14-NOV-2005,
APOLLOHOSP,EQ,482.0,482.0,467.0,469.7,470.0,477.9,44971,21243450.6,14-NOV-2005,
ASHOKLEY,EQ,28.75,29.0,28.4,28.7,28.65,28.55,2388661,68536625.6,14-NOV-2005,
ASIANPAINT,EQ,525.0,525.0,497.0,499.35,498.0,505.65,237660,119355317.75,14-NOV-2005,
AUROPHARMA,EQ,346.45,346.85,334.0,335.2,335.0,343.4,49213,16663655.7,14-NOV-2005,
BANKBARODA,EQ,237.0,242.0,233.05,240.25,242.0,232.7,647429,153387508.25,14-NOV-2005,
BANKINDIA,EQ,115.25,117.05,114.65,116.65,116.55,115.25,953058,110313223.75,14-NOV-2005,
BEL,EQ,835.0,855.0,830.3,841.7,839.95,827.35,174474,146900752.7,14-NOV-2005,
BHARATFORG,EQ,337.5,344.4,337.1,340.45,339.5,336.8,270739,92223176.45,14-NOV-2005,
BHEL,EQ,1295.0,1310.0,1257.5,1273.05,1266.0,1294.45,305983,393231034.05,14-NOV-2005,
BIOCON,EQ,521.0,525.85,505.1,509.95,509.5,521.55,179929,91949982.75,14-NOV-2005,
BLUESTARCO,EQ,416.0,428.0,402.0,419.35,427.0,410.9,5441,2258239.3,14-NOV-2005,
BPCL,EQ,436.0,447.0,429.05,435.45,436.5,435.05,404734,176890912.9,14-NOV-2005,
BRITANNIA,EQ,1262.5,1263.0,1212.0,1230.15,1215.0,1255.7,3494,4351082.35,14-NOV-2005,
CANBK,EQ,211.1,213.5,207.4,210.65,211.8,210.6,614318,129235532.85,14-NOV-2005,
CIPLA,EQ,385.7,389.0,376.2,381.55,381.25,380.15,440906,168211053.25,14-NOV-2005,
CONCOR,EQ,1260.0,1280.0,1252.05,1273.0,1273.0,1250.5,6007,7625199.05,14-NOV-2005,
CUMMINSIND,EQ,144.15,149.6,144.15,146.55,146.25,147.2,52747,7755691.6,14-NOV-2005,
DABUR,EQ,166.2,167.45,164.5,165.3,165.0,165.15,255230,42306205.3,14-NOV-2005,
DIVISLAB,EQ,1409.95,1424.0,1370.0,1391.35,1385.55,1409.9,12688,17654376.8,14-NOV-2005,
DRREDDY,EQ,943.0,949.95,930.0,940.05,936.15,938.85,187829,176776856.15,14-NOV-2005,
EICHERMOT,EQ,249.0,255.9,249.0,250.25,250.0,249.95,16918,4230161.3,14-NOV-2005,
FEDERALBNK,EQ,180.0,180.0,168.2,170.15,170.9,174.15,543326,93115698.6,14-NOV-2005,
GAIL,EQ,260.0,262.9,254.05,257.35,257.0,259.3,625704,161334596.1,14-NOV-2005,
GLENMARK,EQ,299.0,299.85,291.8,293.2,293.0,297.15,66162,19521687.1,14-NOV-2005,
GODFRYPHLP,EQ,1144.0,1168.0,1144.0,1161.65,1164.4,1156.25,575,666868.8,14-NOV-2005,
GODREJCP,EQ,475.0,488.0,470.0,484.15,485.0,471.15,30140,14352571.25,14-NOV-2005,
GRASIM,EQ,1244.85,1253.75,1239.0,1248.65,1244.0,1239.45,146713,182538536.0,14-NOV-2005,
HAVELLS,EQ,349.7,377.25,347.7,377.25,377.25,342.95,140067,51805400.05,14-NOV-2005,
HCLTECH,EQ,483.9,483.9,465.15,469.65,467.0,478.9,300274,141408194.35,14-NOV-2005,
HDFCBANK,EQ,647.0,682.0,642.0,675.75,673.25,635.2,919579,610049556.0,14-NOV-2005,
HINDPETRO,EQ,329.45,349.0,327.5,331.25,332.5,329.55,1161947,385968897.4,14-NOV-2005,
ICICIBANK,EQ,517.9,531.9,517.9,526.9,528.0,515.1,1190887,625129028.8,14-NOV-2005,
INDHOTEL,EQ,764.85,774.0,755.0,765.55,767.0,758.3,38509,29579119.0,14-NOV-2005,
INDUSINDBK,EQ,55.0,57.45,54.6,56.75,57.4,54.5,1524604,84967428.3,14-NOV-2005,
IOC,EQ,513.85,521.0,495.55,499.95,503.9,511.15,442138,224710986.85,14-NOV-2005,
ITC,EQ,130.9,131.85,127.3,128.3,128.2,130.1,8340235,1075685193.15,14-NOV-2005,
JINDALSTEL,EQ,1441.3,1474.0,1428.0,1467.7,1468.95,1427.05,10755,15664719.25,14-NOV-2005,
JSWSTEEL,EQ,217.7,229.4,215.05,219.55,219.1,214.15,317574,70057667.75,14-NOV-2005,
KOTAKBANK,EQ,197.5,201.0,197.5,198.7,198.1,197.5,116733,23264720.4,14-NOV-2005,
LICHSGFIN,EQ,208.1,211.7,206.6,208.5,207.7,207.8,93306,19497612.55,14-NOV-2005,
LT,EQ,1584.0,1588.0,1537.0,1551.4,1551.1,1575.35,172782,268795170.5,14-NOV-2005,
LUPIN,EQ,718.0,725.0,715.0,715.4,715.0,713.9,32915,23683360.35,14-NOV-2005,
M&M,EQ,396.0,404.3,396.0,400.7,400.5,397.35,620221,248735914.2,14-NOV-2005,
MARICO,EQ,293.05,297.0,292.0,293.5,294.0,293.55,8907,2625484.75,14-NOV-2005,
MARUTI,EQ,585.0,591.2,567.25,574.2,575.0,580.95,1325387,765770833.45,14-NOV-2005,
NATIONALUM,EQ,189.5,189.9,183.1,185.15,184.85,187.9,209218,38944906.35,14-NOV-2005,
NTPC,EQ,104.5,105.0,102.9,103.95,103.9,104.05,1315964,136540927.95,14-NOV-2005,
ONGC,EQ,987.6,996.0,978.75,992.8,993.1,980.6,691423,682430931.0,14-NOV-2005,
PETRONET,EQ,69.0,69.5,67.25,67.7,67.3,68.25,2437381,166010311.25,14-NOV-2005,
PIDILITIND,EQ,75.5,75.6,74.05,75.15,75.3,74.6,96936,7271723.95,14-NOV-2005,
PNB,EQ,423.5,428.5,418.25,426.55,427.9,422.55,789499,334393796.65,14-NOV-2005,
RADICO,EQ,648.0,655.0,645.55,651.75,655.0,649.55,26738,17388786.25,14-NOV-2005,
RELIANCE,EQ,795.0,803.0,786.1,798.45,800.0,795.4,3211746,2555642507.5,14-NOV-2005,
SAIL,EQ,53.0,53.25,51.8,52.05,52.1,52.55,4728789,247212431.25,14-NOV-2005,
SBIN,EQ,873.0,885.85,866.5,882.15,881.3,870.95,2388297,2095606141.2,14-NOV-2005,
SHREECEM,EQ,456.8,456.8,445.0,447.3,446.0,450.0,4165,1873165.9,14-NOV-2005,
SIEMENS,EQ,2393.0,2432.85,2393.0,2407.25,2405.0,2394.45,24632,59379163.3,14-NOV-2005,
SRF,EQ,264.0,269.8,259.1,264.35,264.2,264.15,2830793,750384443.1,14-NOV-2005,
SUNPHARMA,EQ,621.1,624.85,612.25,619.4,620.0,619.75,56515,34960138.85,14-NOV-2005,
SUPREMEIND,EQ,299.0,299.0,294.25,298.35,298.5,296.0,2463,733711.3,14-NOV-2005,
SUZLON,EQ,773.85,778.9,750.0,752.3,751.5,775.7,1267073,965164164.2,14-NOV-2005,
TATAELXSI,EQ,201.0,201.9,196.2,199.8,201.0,197.9,49015,9767575.45,14-NOV-2005,
TATAPOWER,EQ,439.0,446.0,434.0,439.85,438.25,438.6,594371,261874992.6,14-NOV-2005,
TATASTEEL,EQ,374.3,374.4,360.2,365.6,365.3,371.3,3304676,1210194179.2,14-NOV-2005,
TCS,EQ,1490.0,1514.65,1490.0,1510.3,1504.0,1482.65,1005045,1513295731.85,14-NOV-2005,
TITAN,EQ,590.0,603.95,581.25,587.25,585.0,596.75,3061194,1809801367.55,14-NOV-2005,
TORNTPHARM,EQ,634.9,634.9,595.0,600.0,604.0,600.25,4147,2492189.25,14-NOV-2005,
TRENT,EQ,809.0,809.0,771.05,774.25,771.6,782.85,2197,1726510.9,14-NOV-2005,
TVSMOTOR,EQ,96.45,98.0,95.15,97.25,97.05,95.25,1950864,188683643.5,14-NOV-2005,
ULTRACEMCO,EQ,447.05,454.0,440.5,444.95,443.0,447.0,69332,31150535.05,14-NOV-2005,
UNIONBANK,EQ,115.1,118.3,113.1,117.4,117.6,115.65,865737,100770777.55,14-NOV-2005,
VOLTAS,EQ,503.7,503.7,490.0,496.05,496.55,496.05,64865,32142167.5,14-NOV-2005,
WIPRO,EQ,411.0,411.0,396.3,404.35,404.6,404.15,1085197,437854630.05,14-NOV-2005,
YESBANK,EQ,67.0,67.75,65.25,65.85,65.25,66.5,157509,10450426.05,14-NOV-2005,
