SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
ABB,EQ,1375.0,1375.0,1351.35,1365.6,1364.0,1357.6,40252,55016183.35,17-AUG-2017,4456,INE117A01022,
ADANIENT,EQ,115.5,117.5,112.3,113.4,113.0,115.2,3746529,431079074.15,17-AUG-2017,20435,INE423A01024,
ADANIPORTS,EQ,398.55,401.4,388.05,389.3,391.8,397.55,2502761,986143048.5,17-AUG-2017,39362,INE742F01042,
ADANIPOWER,EQ,29.6,29.85,28.5,28.7,28.7,29.55,5285095,154028982.25,17-AUG-2017,10085,INE814H01011,
ALKEM,EQ,1825.0,1848.0,1801.75,1818.5,1814.9,1815.35,38442,70364795.1,17-AUG-2017,9984,INE540L01014,
AMBUJACEM,EQ,273.25,274.9,269.35,270.9,272.0,270.05,2464131,671204285.9,17-AUG-2017,21223,INE079A01024,
APLAPOLLO,EQ,1496.4,1530.05,1490.0,1527.45,1529.0,1496.45,4766,7241636.15,17-AUG-2017,549,INE702C01019,
APOLLOHOSP,EQ,1149.65,1150.05,1067.0,1101.45,1102.05,1159.45,1613900,1783139436.75,17-AUG-2017,65097,INE437A01024,
ASHOKLEY,EQ,105.0,106.95,104.35,105.3,105.8,104.75,6252193,661356004.2,17-AUG-2017,32790,INE208A01029,
ASIANPAINT,EQ,1141.3,1142.8,1132.0,1134.95,1134.0,1141.3,494638,561942843.45,17-AUG-2017,29470,INE021A01026,
ASTRAL,EQ,671.0,675.0,660.0,662.15,662.0,665.15,10636,7103112.9,17-AUG-2017,408,INE006I01046,
AUBANK,EQ,546.4,552.5,542.1,543.5,543.4,544.1,325873,178060992.7,17-AUG-2017,7307,INE949L01017,
AUROPHARMA,EQ,713.9,725.0,700.55,703.5,703.5,713.9,2144376,1524688613.35,17-AUG-2017,45856,INE406A01037,
AXISBANK,EQ,500.2,503.45,495.0,497.15,496.65,499.5,3948664,1970940670.1,17-AUG-2017,57668,INE238A01034,
BAJAJ-AUTO,EQ,2850.0,2868.1,2816.0,2825.85,2830.0,2849.2,152160,430868911.7,17-AUG-2017,11241,INE917I01010,
BAJAJFINSV,EQ,5384.0,5456.5,5281.0,5304.45,5303.85,5356.8,182299,979497416.85,17-AUG-2017,23985,INE918I01018,
