SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
ABB,EQ,922.0,925.35,910.0,914.9,913.0,916.95,76574,70120267.7,13-Jul-20,3977,INE117A01022
ABCAPITAL,EQ,62.5,62.8,59.6,60.25,60.2,62.35,2696934,163675651.5,13-Jul-20,11879,INE674K01013
ADANIENT,EQ,161.45,162.45,154.35,156.05,156.0,159.7,2586181,407153496.9,13-Jul-20,17167,INE423A01024
ADANIGREEN,EQ,381.0,382.65,361.6,364.75,364.0,371.05,855922,317228551.7,13-Jul-20,21423,INE364U01010
ADANIPORTS,EQ,336.25,339.65,331.5,332.2,332.7,334.95,2187706,731268056.4,13-Jul-20,31252,INE742F01042
ADANIPOWER,EQ,34.9,34.95,34.4,34.7,34.8,34.8,3333128,115319441.0,13-Jul-20,8876,INE814H01011
ALKEM,EQ,2425.85,2444.95,2351.0,2407.0,2406.0,2422.35,86902,208836900.5,13-Jul-20,7842,INE540L01014
AMBER,EQ,1556.4,1563.4,1523.8,1538.25,1544.0,1543.1,33758,52142901.25,13-Jul-20,6321,INE371P01015
AMBUJACEM,EQ,197.2,199.7,193.75,198.45,198.4,197.2,5213446,1027757083.0,13-Jul-20,38823,INE079A01024
APLAPOLLO,EQ,1735.0,1794.5,1735.0,1776.65,1780.0,1733.85,30021,52827116.6,13-Jul-20,2642,INE702C01019
APOLLOHOSP,EQ,1414.95,1442.9,1406.55,1431.45,1433.9,1402.45,769109,1098378078.0,13-Jul-20,35934,INE437A01024
ASHOKLEY,EQ,51.6,52.45,50.6,50.8,50.9,51.15,22919466,1179324379.0,13-Jul-20,53292,INE208A01029
ASIANPAINT,EQ,1708.0,1732.9,1700.0,1705.65,1705.0,1703.5,1289791,2213649824.0,13-Jul-20,57914,INE021A01026
ASTRAL,EQ,931.6,944.0,920.1,932.75,942.95,921.35,94524,87736115.6,13-Jul-20,7774,INE006I01046
AUBANK,EQ,635.0,646.0,617.0,624.55,625.0,622.3,696280,442169743.7,13-Jul-20,37111,INE949L01017
AUROPHARMA,EQ,827.1,827.7,806.6,809.5,810.55,820.75,3076468,2506770300.0,13-Jul-20,65736,INE406A01037
AXISBANK,EQ,443.95,446.4,432.75,440.05,441.0,439.6,21326996,9363067007.0,13-Jul-20,240240,INE238A01034
BAJAJ-AUTO,EQ,2898.9,2910.0,2876.8,2900.0,2903.1,2894.7,481614,1395589088.0,13-Jul-20,24826,INE917I01010
BAJAJFINSV,EQ,6574.0,6592.4,6400.0,6461.45,6499.35,6483.8,810726,5247991171.0,13-Jul-20,75216,INE918I01018
BAJAJHLDNG,EQ,2765.0,2765.0,2681.2,2723.25,2716.0,2732.75,128517,348493330.8,13-Jul-20,6173,INE118A01012
BAJFINANCE,EQ,3360.0,3378.0,3216.2,3234.6,3244.6,3314.15,13136482,43112330184.0,13-Jul-20,447486,INE296A01024
BANDHANBNK,EQ,378.0,382.75,367.35,370.1,368.95,373.95,10149824,3793527243.0,13-Jul-20,104509,INE545U01014
BANKBARODA,EQ,52.0,52.45,50.15,50.55,50.5,51.6,31368155,1598009573.0,13-Jul-20,72709,INE028A01039
BANKINDIA,EQ,49.9,49.9,48.0,48.25,48.2,49.3,1888289,92139858.35,13-Jul-20,13080,INE084A01016
BDL,EQ,408.8,415.0,395.5,398.35,399.5,405.85,1426942,578458760.0,13-Jul-20,29921,INE171Z01018
BEL,EQ,100.7,101.35,97.7,98.5,98.15,99.7,10791094,1071827046.0,13-Jul-20,72650,INE263A01024
BHARATFORG,EQ,359.0,377.9,358.3,369.05,368.0,354.5,8621256,3193496589.0,13-Jul-20,93328,INE465A01025
BHARTIARTL,EQ,574.5,589.0,570.0,586.8,586.6,574.7,16353967,9492769916.0,13-Jul-20,178405,INE397D01024
BHEL,EQ,42.45,43.0,41.8,42.6,42.6,41.4,44813674,1900118978.0,13-Jul-20,65625,INE257A01026
BIOCON,EQ,446.95,446.95,412.75,414.85,415.0,414.3,20181221,8529492496.0,13-Jul-20,229508,INE376G01013
BLUESTARCO,EQ,494.0,494.0,479.0,480.2,482.5,490.5,61217,29540616.95,13-Jul-20,4059,INE472A01039
BOSCHLTD,EQ,13498.0,13960.0,13335.0,13858.9,13911.0,13332.15,61390,836915212.9,13-Jul-20,14527,INE323A01026
BPCL,EQ,378.0,384.2,375.45,379.95,379.6,376.35,5139428,1957300769.0,13-Jul-20,81797,INE029A01011
BRITANNIA,EQ,3760.0,3835.0,3750.25,3796.8,3799.0,3726.65,1108644,4208870985.0,13-Jul-20,81417,INE216A01030
BSE,EQ,505.2,514.4,503.0,504.75,505.0,502.9,207335,105473294.3,13-Jul-20,6076,INE118H01025
CANBK,EQ,105.0,106.15,102.75,103.4,103.25,104.6,15607691,1620792404.0,13-Jul-20,56400,INE476A01014
CDSL,EQ,292.4,298.4,285.5,287.3,288.35,291.1,430379,125811561.5,13-Jul-20,8860,INE736A01011
CGPOWER,EQ,8.85,9.0,8.85,8.85,8.85,9.3,1358629,12043076.7,13-Jul-20,1279,INE067A01029
CHOLAFIN,EQ,210.0,212.9,204.35,205.25,205.05,208.45,5681014,1177753808.0,13-Jul-20,36901,INE121A01024
CIPLA,EQ,641.0,646.0,636.6,638.35,638.85,638.9,3450074,2210350646.0,13-Jul-20,67930,INE059A01026
COALINDIA,EQ,131.8,132.45,130.3,130.5,130.65,131.2,7748616,1014945495.0,13-Jul-20,58621,INE522F01014
COCHINSHIP,EQ,327.95,331.5,319.7,327.75,327.4,325.2,667952,217969457.5,13-Jul-20,10983,INE704P01017
COLPAL,EQ,1396.0,1436.85,1395.0,1432.15,1432.0,1392.2,1612858,2288060979.0,13-Jul-20,52325,INE259A01022
CONCOR,EQ,435.0,437.85,422.4,425.45,423.1,430.15,1275777,548128091.1,13-Jul-20,26409,INE111A01025
CROMPTON,EQ,240.05,254.0,238.9,245.8,247.8,240.85,979806,243054944.3,13-Jul-20,14912,INE299U01018
CUMMINSIND,EQ,397.0,399.85,387.0,388.4,388.75,393.1,1522264,598739575.6,13-Jul-20,28731,INE298A01020
DABUR,EQ,474.95,486.0,474.6,484.5,484.5,474.15,3108357,1496626646.0,13-Jul-20,55959,INE016A01026
DALBHARAT,EQ,700.0,708.0,691.4,697.45,698.0,699.35,219503,153614734.9,13-Jul-20,9199,INE00R701025
DIVISLAB,EQ,2220.0,2240.0,2197.2,2235.15,2240.0,2203.1,600585,1334749269.0,13-Jul-20,28595,INE361B01024
DIXON,EQ,6230.5,6500.0,6230.5,6467.8,6484.95,6230.1,45626,291532843.5,13-Jul-20,10085,INE935N01012
DLF,EQ,148.85,149.2,141.65,142.9,142.8,147.75,13687808,1973787916.0,13-Jul-20,67658,INE271C01023
DMART,EQ,2210.05,2304.95,2180.0,2233.95,2223.0,2322.7,1754347,3927462224.0,13-Jul-20,123187,INE192R01011
DRREDDY,EQ,3915.3,3928.95,3874.0,3899.55,3904.0,3905.45,535690,2089891037.0,13-Jul-20,42363,INE089A01023
EICHERMOT,EQ,19610.0,19729.0,19450.0,19655.0,19634.1,19447.85,133183,2611740599.0,13-Jul-20,28736,INE066A01013
