SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE, EQ, 06-Nov-2025,1079.1,1081.6,1084.1,1062.7,1066.4,1068.2,1069.87,396590,4243.01,29512, 216218, 54.52
ABB, EQ, 06-Nov-2025,5244.0,5258.0,5280.5,5172.0,5205.0,5228.0,5245.14,302941,15889.67,23999, 166519, 54.97
ABCAPITAL, EQ, 06-Nov-2025,331.45,331.05,332.35,324.6,327.55,327.05,327.37,4018689,13156.13,50586, 1955185, 48.65
ADANIENSOL, EQ, 06-Nov-2025,985.9,985.9,994.6,962.8,969.8,968.15,974.41,1064046,10368.17,31974, 408814, 38.42
ADANIENT, EQ, 06-Nov-2025,2419.8,2425.1,2427.1,2307.6,2311.0,2314.3,2346.4,1978147,46415.24,87565, 712210, 36.00
ADANIGREEN, EQ, 06-Nov-2025,1086.4,1087.1,1097.9,1047.0,1062.0,1060.5,1065.81,2533556,27002.97,59186, 690895, 27.27
ADANIPORTS, EQ, 06-Nov-2025,1444.4,1452.1,1466.3,1434.3,1435.7,1436.8,1450.67,2745063,39821.69,89710, 1113958, 40.58
ADANIPOWER, EQ, 06-Nov-2025,158.39,158.36,158.38,152.33,153.15,153.17,154.55,24262835,37498.95,135294, 9283812, 38.26
ALKEM, EQ, 06-Nov-2025,5664.0,5670.5,5704.0,5631.0,5631.5,5643.5,5658.87,152300,8618.46,19636, 87832, 57.67
AMBER, EQ, 06-Nov-2025,7797.5,7835.5,7992.5,7643.0,7841.0,7832.5,7854.92,336616,26440.93,50748, 105328, 31.29
AMBUJACEM, EQ, 06-Nov-2025,567.4,567.55,569.35,557.1,557.5,558.4,561.76,1388630,7800.77,28669, 672265, 48.41
ANGELONE, EQ, 06-Nov-2025,2518.4,2530.0,2559.8,2480.0,2484.0,2486.5,2518.55,721587,18173.52,38386, 294377, 40.80
APLAPOLLO, EQ, 06-Nov-2025,1779.2,1789.1,1811.0,1779.0,1783.2,1785.7,1797.94,896721,16122.53,54160, 591673, 65.98
APOLLOHOSP, EQ, 06-Nov-2025,7810.5,7732.5,7850.5,7700.0,7783.0,7782.0,7784.69,425649,33135.44,57490, 236326, 55.52
ASHOKLEY, EQ, 06-Nov-2025,140.44,140.99,143.85,139.92,140.4,141.23,142.17,17435511,24788.79,87071, 7573526, 43.44
ASIANPAINT, EQ, 06-Nov-2025,2486.7,2560.1,2631.0,2560.1,2602.1,2602.9,2604.41,4448622,115860.32,209979, 1938162, 43.57
ASTRAL, EQ, 06-Nov-2025,1467.2,1482.5,1572.5,1482.5,1572.0,1566.1,1547.0,5837826,90311.31,171975, 2109585, 36.14
AUBANK, EQ, 06-Nov-2025,880.3,880.9,892.65,875.4,881.0,881.0,882.78,3539271,31243.94,49814, 2501967, 70.69
AUROPHARMA, EQ, 06-Nov-2025,1149.1,1156.0,1157.8,1121.3,1135.0,1140.6,1140.7,1443663,16467.82,43704, 470033, 32.56
AXISBANK, EQ, 06-Nov-2025,1226.6,1225.0,1239.6,1225.0,1227.7,1228.5,1230.7,3733721,45950.95,107587, 2466135, 66.05
BAJAJ-AUTO, EQ, 06-Nov-2025,8751.0,8755.0,8820.5,8702.5,8713.0,8720.5,8756.99,326774,28615.57,29306, 214963, 65.78
BAJAJFINSV, EQ, 06-Nov-2025,2073.2,2079.0,2080.4,2057.2,2065.9,2063.2,2064.79,1175380,24269.17,65579, 685715, 58.34
BAJAJHLDNG, EQ, 06-Nov-2025,12091.0,12139.0,13250.0,12015.0,13071.0,13139.0,13027.52,706323,92016.37,132665, 196154, 27.77
BAJFINANCE, EQ, 06-Nov-2025,1057.0,1037.0,1052.8,1035.0,1042.5,1041.9,1044.64,5776277,60341.25,130577, 3301080, 57.15
BANDHANBNK, EQ, 06-Nov-2025,156.16,156.89,156.89,151.36,153.01,152.93,152.77,12978521,19827.87,53660, 7320745, 56.41
BANKBARODA, EQ, 06-Nov-2025,288.1,289.5,290.5,284.75,286.0,286.35,287.5,7681719,22084.74,63344, 3853366, 50.16
BANKINDIA, EQ, 06-Nov-2025,142.16,142.0,142.46,139.77,140.05,140.17,140.56,8872753,12471.29,38911, 4553562, 51.32
BDL, EQ, 06-Nov-2025,1481.1,1483.0,1486.1,1424.1,1433.9,1438.1,1442.19,1430679,20633.13,61169, 570747, 39.89
BEL, EQ, 06-Nov-2025,415.15,411.0,415.0,407.45,408.8,408.8,410.59,12786294,52499.86,162710, 7493743, 58.61
BHARATFORG, EQ, 06-Nov-2025,1324.9,1320.0,1331.6,1299.1,1316.0,1319.7,1317.82,1108499,14608.02,49764, 577676, 52.11
BHARTIARTL, EQ, 06-Nov-2025,2113.3,2115.0,2123.3,2080.5,2095.0,2094.9,2103.02,9546299,200760.42,327497, 6456053, 67.63
BHEL, EQ, 06-Nov-2025,267.25,266.7,266.9,259.5,260.0,260.05,262.39,5823324,15280.0,66879, 2587620, 44.44
BIOCON, EQ, 06-Nov-2025,380.5,380.2,386.8,380.2,385.0,385.2,384.23,4037698,15513.99,55329, 1923474, 47.64
BLUESTARCO, EQ, 06-Nov-2025,1917.6,1934.0,2021.4,1776.0,1792.0,1785.5,1870.36,2860574,53503.04,132086, 920287, 32.17
BOSCHLTD, EQ, 06-Nov-2025,37850.0,37950.0,37950.0,36845.0,37100.0,37020.0,37093.21,28881,10712.89,12795, 13190, 45.67
BPCL, EQ, 06-Nov-2025,372.95,380.0,380.0,367.25,368.5,367.95,371.38,11803637,43836.52,140792, 7218769, 61.16
BRITANNIA, EQ, 06-Nov-2025,5892.5,6186.0,6191.5,5993.5,6016.0,6013.5,6066.91,1038063,62978.34,87601, 482777, 46.51
BSE, EQ, 06-Nov-2025,2496.6,2495.0,2495.7,2429.9,2458.0,2455.5,2454.08,2859627,70177.57,135625, 1146926, 40.11
CAMS, EQ, 06-Nov-2025,3801.1,3801.1,3809.0,3722.2,3742.9,3739.8,3747.4,277136,10385.41,28038, 143143, 51.65
CANBK, EQ, 06-Nov-2025,139.6,140.25,140.75,138.84,139.1,139.24,139.71,22293737,31146.97,96477, 10960510, 49.16
CDSL, EQ, 06-Nov-2025,1539.1,1529.9,1538.5,1517.0,1532.0,1532.9,1527.74,1409286,21530.23,59558, 526721, 37.38
CGPOWER, EQ, 06-Nov-2025,747.6,746.0,749.45,730.0,730.3,732.7,736.58,2225547,16392.99,71192, 1357068, 60.98
CHOLAFIN, EQ, 06-Nov-2025,1745.9,1744.1,1751.2,1653.4,1675.0,1683.4,1698.07,2300974,39072.12,118019, 988124, 42.94
CIPLA, EQ, 06-Nov-2025,1503.3,1510.8,1512.9,1498.0,1502.9,1501.5,1504.18,1596245,24010.36,112463, 992382, 62.17
COALINDIA, EQ, 06-Nov-2025,377.55,378.7,378.7,372.35,373.0,373.15,374.6,6648689,24905.84,78102, 4367239, 65.69
COCHINSHIP, EQ, 06-Nov-2025,1768.7,1771.9,1775.0,1698.5,1699.0,1702.7,1720.09,838981,14431.22,48264, 375658, 44.78
COFORGE, EQ, 06-Nov-2025,1767.0,1751.0,1777.0,1748.6,1760.0,1763.9,1765.46,1453706,25664.58,55887, 998095, 68.66
COLPAL, EQ, 06-Nov-2025,2190.8,2175.9,2190.8,2166.6,2171.0,2173.6,2177.16,411132,8951.01,28322, 246781, 60.02
CONCOR, EQ, 06-Nov-2025,542.5,541.8,541.8,518.0,519.5,519.35,521.77,4558191,23783.23,64196, 3362985, 73.78
CROMPTON, EQ, 06-Nov-2025,283.25,283.5,284.35,276.4,277.55,278.55,280.55,2344095,6576.35,32280, 1197949, 51.10
CUMMINSIND, EQ, 06-Nov-2025,4316.8,4309.1,4364.8,4244.2,4314.6,4316.1,4307.95,693125,29859.5,78695, 373331, 53.86
DABUR, EQ, 06-Nov-2025,517.05,517.05,524.5,511.05,523.15,523.7,520.43,3911239,20355.33,53915, 1554102, 39.73
DALBHARAT, EQ, 06-Nov-2025,2049.6,2041.9,2067.9,2040.1,2053.0,2048.8,2052.49,196404,4031.18,16175, 126521, 64.42
DELHIVERY, EQ, 06-Nov-2025,484.85,470.0,470.0,436.4,436.4,442.6,450.67,20671252,93158.31,145554, 10389952, 50.26
DIVISLAB, EQ, 06-Nov-2025,6804.5,6792.5,6904.5,6764.0,6875.0,6883.5,6841.38,721954,49391.61,56418, 370340, 51.30
DIXON, EQ, 06-Nov-2025,15254.0,15257.0,15324.0,15050.0,15090.0,15079.0,15144.75,229915,34820.06,58751, 134146, 58.35
DLF, EQ, 06-Nov-2025,774.6,770.0,773.5,756.5,758.9,758.35,762.97,2753925,21011.56,58889, 1381838, 50.18
DMART, EQ, 06-Nov-2025,4182.4,4182.4,4191.4,4071.9,4089.0,4082.2,4109.04,487314,20023.93,51155, 317824, 65.22
DRREDDY, EQ, 06-Nov-2025,1200.0,1202.0,1213.9,1193.2,1204.0,1205.2,1203.54,1560897,18786.06,50644, 780133, 49.98
EICHERMOT, EQ, 06-Nov-2025,6930.0,6945.0,6975.0,6793.5,6810.0,6806.5,6862.33,435650,29895.74,58833, 293655, 67.41
ETERNAL, EQ, 06-Nov-2025,313.5,308.5,311.65,303.55,305.3,305.65,307.37,44725332,137470.12,280633, 27559951, 61.62
FEDERALBNK, EQ, 06-Nov-2025,237.85,237.98,238.34,235.05,235.1,235.83,236.2,4895857,11563.86,53832, 3004112, 61.36
FORCEMOT, EQ, 06-Nov-2025,18279.0,18480.0,18735.0,17800.0,17890.0,17883.0,18351.89,97877,17962.28,26238, 34573, 35.32
FORTIS, EQ, 06-Nov-2025,1019.1,1025.0,1029.9,995.1,1007.5,1009.9,1008.52,2298960,23185.42,70903, 1264147, 54.99
GAIL, EQ, 06-Nov-2025,181.62,182.8,182.8,178.65,178.9,178.98,179.64,8609714,15466.34,62026, 5019763, 58.30
GLENMARK, EQ, 06-Nov-2025,1845.1,1859.9,1859.9,1805.0,1808.3,1810.4,1820.45,356061,6481.93,20820, 194745, 54.69
GMRAIRPORT, EQ, 06-Nov-2025,95.16,94.1,96.43,94.1,94.38,94.45,95.29,11103563,10580.12,31180, 5379460, 48.45
GODFRYPHLP, EQ, 06-Nov-2025,3020.3,3022.0,3074.1,2990.2,3010.0,3023.2,3034.96,407120,12355.92,38376, 112207, 27.56
GODREJCP, EQ, 06-Nov-2025,1163.4,1164.9,1164.9,1134.3,1143.5,1146.0,1143.89,2222520,25423.16,63462, 1515854, 68.20
GODREJPROP, EQ, 06-Nov-2025,2293.2,2300.0,2312.7,2186.6,2193.5,2193.7,2239.93,1250187,28003.35,78719, 307783, 24.62
GRASIM, EQ, 06-Nov-2025,2882.0,2797.1,2800.0,2692.0,2697.0,2700.1,2732.37,1986853,54288.16,105144, 842914, 42.42
GVT&D, EQ, 06-Nov-2025,3146.6,3091.6,3110.0,2992.6,3000.0,3000.5,3038.71,748518,22745.31,67762, 448939, 59.98
HAL, EQ, 06-Nov-2025,4685.8,4650.0,4686.6,4575.0,4590.0,4593.6,4624.11,768664,35543.85,62925, 444609, 57.84
HAVELLS, EQ, 06-Nov-2025,1486.4,1475.1,1485.1,1439.2,1444.0,1442.3,1454.59,1209100,17587.39,44710, 764719, 63.25
HCLTECH, EQ, 06-Nov-2025,1529.1,1529.1,1531.9,1514.3,1527.0,1526.4,1525.7,2474769,37757.46,83301, 1582516, 63.95
HDFCAMC, EQ, 06-Nov-2025,5402.5,5242.5,5425.0,5242.5,5381.0,5388.5,5380.13,489224,26320.88,46878, 306090, 62.57
HDFCBANK, EQ, 06-Nov-2025,985.25,981.0,991.05,974.0,987.5,984.65,984.48,22279516,219338.18,278532, 11400343, 51.17
HDFCLIFE, EQ, 06-Nov-2025,742.45,738.85,746.8,734.6,736.0,736.05,739.07,1640119,12121.7,53702, 925697, 56.44
HEROMOTOCO, EQ, 06-Nov-2025,5309.0,5352.5,5408.5,5305.0,5322.0,5326.0,5345.55,815323,43583.49,64064, 550971, 67.58
HINDALCO, EQ, 06-Nov-2025,831.4,788.0,795.0,770.15,786.55,788.4,781.95,34786635,272014.53,437565, 20910093, 60.11
